model,machine,context_length,horizon,with_covariates,device,n_samples,mae,rmse,inference_ms,coverage,crps,winkler,training_mode,ft_epochs,ft_time_s,ft_train_machines,experiment
granite-ttm,chameleon,1024,300,False,cuda,25,0.1087176340738932,0.1933099913644933,4.808400800002346,,,,zero_shot,,,,
granite-ttm,chameleon,1800,60,False,cuda,25,0.1010769449869792,0.1299806895484439,4.988568119999854,,,,zero_shot,,,,
granite-ttm,chameleon,1800,120,False,cuda,25,0.1027781372070312,0.1376141924162183,4.95281795999631,,,,zero_shot,,,,
granite-ttm,chameleon,1800,300,False,cuda,25,0.0847592539469401,0.1381401277169595,5.057901160001848,,,,zero_shot,,,,
granite-ttm,chameleon,3600,60,False,cuda,25,0.081601094563802,0.1127839507100264,4.9315495999985615,,,,zero_shot,,,,
granite-ttm,chameleon,3600,120,False,cuda,25,0.2006918665568034,0.3517043381113147,5.619019199991726,,,,zero_shot,,,,
granite-ttm,chameleon,3600,300,False,cuda,25,0.256660893758138,0.432744222072395,4.846690199997283,,,,zero_shot,,,,
granite-ttm-ft-E4_ctx1024_uni,homelab,1024,60,False,cuda,25,0.019250835418701172,0.022827670576723805,7.161578199884389,,,,ft_combined,0,1482.278143264,combined,E4_ctx1024_uni
granite-ttm-ft-E6_ctx1024_h192_uni,homelab,1024,60,False,cuda,25,0.018651962280273438,0.0227462493501666,5.45350703971053,,,,ft_combined,1,1626.293196609,combined,E6_ctx1024_h192_uni
granite-ttm,homelab,1024,60,False,cuda,25,0.007607338587443,0.008020330087529,5.152991600000405,,,,zero_shot,,,,
granite-ttm-ft-E5_ctx1024_mix10,homelab,1024,60,True,cuda,25,0.015265949249267581,0.018345127867427164,8.56585419998737,,,,ft_combined,11,4203.246887862,combined,E5_ctx1024_mix10
granite-ttm-ft-E7_ctx1024_h192_mix10,homelab,1024,60,True,cuda,25,0.020040465037027996,0.022963555774315744,9.005345480181859,,,,ft_combined,8,3565.928566823999,combined,E7_ctx1024_h192_mix10
granite-ttm-ft-E4_ctx1024_uni,homelab,1024,96,False,cuda,25,0.023229158719380697,0.0293083796716059,5.4238523200911,,,,ft_combined,0,1482.278143264,combined,E4_ctx1024_uni
granite-ttm-ft-E6_ctx1024_h192_uni,homelab,1024,96,False,cuda,25,0.02271501183509826,0.029232898083975698,5.7670328399399295,,,,ft_combined,1,1626.293196609,combined,E6_ctx1024_h192_uni
granite-ttm-ft-E5_ctx1024_mix10,homelab,1024,96,True,cuda,25,0.01872352480888367,0.024687916887355138,7.8688165199855575,,,,ft_combined,11,4203.246887862,combined,E5_ctx1024_mix10
granite-ttm-ft-E7_ctx1024_h192_mix10,homelab,1024,96,True,cuda,25,0.021253220240275063,0.02580296785127691,10.07547267989139,,,,ft_combined,8,3565.928566823999,combined,E7_ctx1024_h192_mix10
granite-ttm-ft-E6_ctx1024_h192_uni,homelab,1024,120,False,cuda,25,0.027409278551737467,0.034609554739416126,6.228482560109114,,,,ft_combined,1,1626.293196609,combined,E6_ctx1024_h192_uni
granite-ttm,homelab,1024,120,False,cuda,25,0.0207227363586425,0.0213855207234908,4.939039439999533,,,,zero_shot,,,,
granite-ttm-ft-E7_ctx1024_h192_mix10,homelab,1024,120,True,cuda,25,0.024415980021158856,0.029713874281212402,8.798962960136123,,,,ft_combined,8,3565.928566823999,combined,E7_ctx1024_h192_mix10
granite-ttm-ft-E6_ctx1024_h192_uni,homelab,1024,192,False,cuda,25,0.03951321959495545,0.049098916687865604,5.714952999987872,,,,ft_combined,1,1626.293196609,combined,E6_ctx1024_h192_uni
granite-ttm-ft-E7_ctx1024_h192_mix10,homelab,1024,192,True,cuda,25,0.03942868689695994,0.04779117506826206,11.066984000135562,,,,ft_combined,8,3565.928566823999,combined,E7_ctx1024_h192_mix10
granite-ttm,homelab,1024,300,False,cuda,25,0.0259084671020507,0.0307053164081915,5.005987080000978,,,,zero_shot,,,,
granite-ttm,homelab,1800,60,False,cuda,25,0.0025696436564127,0.0029518654769067,5.005206879999946,,,,zero_shot,,,,
granite-ttm,homelab,1800,120,False,cuda,25,0.0058522011439005,0.0065002832914218,4.824121200001628,,,,zero_shot,,,,
granite-ttm,homelab,1800,300,False,cuda,25,0.01392110303243,0.0143889110539747,4.830838000000881,,,,zero_shot,,,,
granite-ttm,homelab,3600,60,False,cuda,25,0.0131687520345052,0.0146890092023219,5.493805600003725,,,,zero_shot,,,,
granite-ttm,homelab,3600,120,False,cuda,25,0.033624893506368,0.0357108591667717,4.824018839998416,,,,zero_shot,,,,
granite-ttm,homelab,3600,300,False,cuda,25,0.0530003730773925,0.0601695876264369,4.869590200001426,,,,zero_shot,,,,
