epoch,train_loss,val_loss
1,0.005,0.011443640105426311
2,0.0044,0.010799800045788288
3,0.0015,0.010431637056171894
4,0.0023,0.010415537282824516
5,0.0035,0.011607984080910683
6,0.0025,0.01089561264961958
7,0.0031,0.011976854875683784
8,0.0049,0.010976948775351048
9,0.0015,0.012971486896276474
10,0.0021,0.010495204478502274
11,0.0039,0.011731307953596115
12,0.0025,0.010425788350403309
13,0.0014,0.010226191952824593
14,0.0021,0.010492500849068165
15,0.0022,0.012139685451984406
16,0.0029,0.010652391240000725
17,0.0019,0.010867596603929996
18,0.003,0.010147531516849995
19,0.0048,0.010397407226264477
20,0.0041,0.010281960479915142
21,0.0014,0.010005435906350613
22,0.0058,0.010172332637012005
23,0.0028,0.010081496089696884
24,0.0064,0.010434028692543507
25,0.0027,0.010287797078490257
26,0.0044,0.011209884658455849
27,0.0026,0.010195691138505936
28,0.0045,0.00998491421341896
29,0.0068,0.009930758737027645
30,0.0017,0.010259132832288742
31,0.0048,0.009971260093152523
32,0.0035,0.0100483987480402
33,0.0035,0.01003698818385601
34,0.0017,0.009998423978686333
35,0.0048,0.009903731755912304
36,0.0024,0.010382350534200668
37,0.0038,0.009971539489924908
38,0.0027,0.009879986755549908
39,0.0016,0.010013116523623466
40,0.004,0.009952714666724205
41,0.0011,0.009921163320541382
42,0.0018,0.009875989519059658
43,0.0045,0.010089055635035038
44,0.0023,0.009976007044315338
45,0.0048,0.009878890588879585
46,0.0032,0.009880755096673965
47,0.0039,0.009907341562211514
48,0.0016,0.009933522902429104
49,0.0055,0.009843752719461918
50,0.0036,0.009841227903962135
51,0.0025,
52,0.0033,
53,0.003,
54,0.0052,
55,0.003,
56,0.0015,
57,0.0037,
58,0.006,
59,0.0026,
60,0.0031,
61,0.0016,
62,0.0025,
63,0.0013,
64,0.0034,
65,0.0025,
66,0.0024,
67,0.0009,
68,0.0056,
69,0.003,
70,0.0035,
71,0.0025,
72,0.0069,
73,0.0025,
74,0.0022,
75,0.0034,
76,0.0048,
77,0.0018,
78,0.0041,
79,0.0042,
80,0.0056,
81,0.0029,
82,0.0014,
83,0.0022,
84,0.0023,
85,0.0029,
86,0.005,
87,0.0011,
88,0.002,
89,0.0048,
90,0.0052,
91,0.0042,
92,0.0054,
93,0.0021,
94,0.0016,
95,0.0029,
96,0.0039,
97,0.0054,
98,0.0044,
99,0.0038,
100,0.0012,
101,0.0018,
102,0.0043,
103,0.0014,
104,0.0032,
105,0.0036,
106,0.0033,
107,0.0012,
108,0.0033,
109,0.0036,
110,0.005,
111,0.0038,
112,0.0049,
113,0.0017,
114,0.0061,
115,0.0055,
116,0.0022,
117,0.0051,
118,0.0018,
119,0.0017,
120,0.0038,
121,0.0018,
122,0.0045,
123,0.0028,
124,0.0016,
125,0.0028,
126,0.0039,
127,0.0027,
128,0.0031,
129,0.0021,
130,0.0007,
131,0.0005,
132,0.0006,
133,0.0038,
134,0.0028,
135,0.0024,
136,0.0029,
137,0.0036,
138,0.0012,
139,0.0028,
140,0.0035,
141,0.003,
142,0.0027,
143,0.0024,
144,0.0056,
145,0.0011,
146,0.0018,
147,0.0055,
148,0.0056,
149,0.0053,
150,0.0047,
151,0.0018,
152,0.0035,
153,0.0033,
154,0.0025,
155,0.0038,
156,0.0038,
157,0.0018,
158,0.0016,
159,0.0018,
160,0.003,
161,0.0032,
162,0.0018,
163,0.006,
164,0.0023,
165,0.0021,
166,0.0029,
167,0.0024,
168,0.0011,
169,0.0029,
170,0.0031,
171,0.002,
172,0.0015,
173,0.0056,
174,0.0027,
175,0.0038,
176,0.0011,
177,0.0016,
178,0.0032,
179,0.0031,
180,0.0024,
181,0.0018,
182,0.006,
183,0.0028,
184,0.0038,
185,0.0012,
186,0.0051,
187,0.0014,
188,0.0075,
189,0.0017,
190,0.0031,
191,0.0021,
192,0.0058,
193,0.0039,
194,0.0042,
195,0.0021,
196,0.0059,
197,0.001,
198,0.0051,
199,0.0029,
200,0.0042,
201,0.0046,
202,0.0024,
203,0.0012,
204,0.0029,
205,0.0059,
206,0.0048,
207,0.0021,
208,0.0019,
209,0.0049,
210,0.0032,
211,0.0031,
212,0.0043,
213,0.0042,
214,0.0025,
215,0.0038,
216,0.0022,
217,0.003,
218,0.001,
219,0.0042,
220,0.0039,
221,0.003,
222,0.0014,
223,0.0064,
224,0.0041,
225,0.0006,
226,0.0034,
227,0.0026,
228,0.001,
229,0.0023,
230,0.003,
231,0.0022,
232,0.0013,
233,0.0023,
234,0.0011,
235,0.004,
236,0.0042,
237,0.0014,
238,0.0023,
239,0.0022,
240,0.0013,
241,0.0019,
242,0.0029,
243,0.0039,
244,0.0033,
245,0.0053,
246,0.002,
247,0.0031,
248,0.0048,
249,0.0039,
250,0.0045,
251,0.0039,
252,0.0021,
253,0.0029,
254,0.004,
255,0.0036,
256,0.0045,
257,0.0026,
258,0.0038,
259,0.0018,
260,0.0046,
261,0.0064,
262,0.0023,
263,0.0061,
264,0.0043,
265,0.005,
266,0.0011,
267,0.0027,
268,0.0014,
269,0.0028,
270,0.0066,
271,0.0043,
272,0.0028,
273,0.0042,
274,0.0042,
275,0.0029,
276,0.0013,
277,0.0046,
278,0.0024,
279,0.0022,
280,0.0069,
281,0.0048,
282,0.004,
283,0.0053,
284,0.0036,
285,0.0012,
286,0.0037,
287,0.005,
288,0.0026,
289,0.0027,
290,0.0018,
291,0.002,
292,0.0023,
293,0.0027,
294,0.003,
295,0.0025,
296,0.0041,
297,0.0017,
298,0.0045,
299,0.001,
300,0.002,
301,0.0024,
